Time,Pokémon,Anpanman,Hello Kitty,Pac-Man,Space Invaders,Dragon Ball,Street Fighter,Rilakkuma,Monster Strike,Demon Slayer: Kimetsu no Yaiba,Super Mario,Power Rangers,Ultraman,Sonic the Hedgehog,Fate/stay night,Yu-Gi-Oh!,Gundam,Beyblade,Gran Turismo,Hamtaro,Astro Boy,Godzilla,Sailor Moon,Kumamon,Yo-Kai Watch,Resident Evil,Neon Genesis Evangelion,Star Wars,Disney Princess,Barbie,Marvel Comics,Harry Potter,Call of Duty,Bruce Wayne,Cars,Candy Crush Saga,Looney Tunes,Teenage Mutant Ninja Turtles,SpongeBob SquarePants,The Lion King,Dora the Explorer,PAW Patrol,Toy Story,Peanuts,The Avengers,Frozen,World of Warcraft,Despicable Me,Star Trek,Jurassic Park,Grand Theft Auto,James Bond,Angry Birds
1/1/2004,0,0,5,8,0,31,4,0,0,0,22,2,0,8,1,9,4,1,6,2,1,1,6,0,0,11,5,11,1,17,3,23,18,4,1,0,5,0,13,8,3,0,1,0,0,0,10,0,3,1,19,3,0
2/1/2004,0,0,5,8,0,28,4,0,0,0,19,3,0,11,2,9,3,1,5,2,0,1,6,0,0,9,5,10,1,17,3,20,15,3,1,0,5,0,13,9,2,0,1,1,0,0,8,0,3,1,16,3,0
3/1/2004,0,0,5,8,0,28,4,0,0,0,20,3,0,9,1,11,3,1,5,2,1,1,6,0,0,10,6,11,1,17,3,20,13,4,1,0,5,0,13,8,2,0,1,0,0,0,9,0,3,1,17,3,0
4/1/2004,0,0,5,9,0,26,4,0,0,0,20,3,0,9,1,11,3,1,4,2,1,1,6,0,0,12,5,11,1,17,3,21,12,4,1,0,5,0,12,7,2,0,1,0,0,0,9,0,3,1,14,2,0
5/1/2004,0,0,4,9,0,25,4,0,0,0,20,3,0,8,1,10,4,0,5,1,0,1,6,0,0,10,4,10,1,16,3,31,10,3,1,0,4,0,12,7,2,0,1,0,0,0,9,0,3,1,16,2,0
6/1/2004,0,0,4,9,0,24,4,0,0,0,21,3,0,7,1,8,3,0,5,1,1,1,6,0,0,9,4,10,1,17,3,52,10,3,0,0,4,0,11,7,2,0,1,0,0,0,9,0,3,1,18,2,0
7/1/2004,0,0,5,8,0,24,4,0,0,0,23,3,0,8,1,7,3,0,5,1,1,1,7,0,0,11,4,11,1,19,5,31,10,4,0,0,4,0,12,7,2,0,1,0,0,0,11,0,3,1,19,2,0
8/1/2004,0,0,5,8,0,23,4,0,0,0,20,3,0,7,1,8,4,0,4,1,0,1,7,0,0,13,4,11,1,19,3,24,10,5,0,0,4,0,12,7,2,0,1,0,0,0,11,0,3,1,20,3,0
9/1/2004,0,0,5,8,0,22,4,0,0,0,20,3,0,6,0,8,3,0,5,1,0,1,6,0,0,21,4,20,1,17,3,18,14,5,0,0,3,0,11,7,2,0,1,0,0,0,12,0,3,1,20,3,0
10/1/2004,0,0,6,9,0,23,4,0,0,0,23,3,0,7,0,8,3,0,5,1,0,1,5,0,0,18,4,16,1,21,3,19,14,4,0,0,3,0,14,7,2,0,1,0,0,0,12,0,3,1,37,2,0
11/1/2004,0,0,6,10,0,24,4,0,0,0,24,3,0,7,0,8,3,0,5,1,0,2,5,0,0,12,3,20,1,23,2,20,12,4,1,0,4,0,18,8,3,0,1,0,0,0,31,0,3,1,42,3,0
12/1/2004,0,0,6,11,0,26,4,0,0,0,27,3,1,8,0,6,3,0,7,1,0,2,5,0,0,11,4,15,1,26,3,25,16,4,1,0,4,0,20,8,3,0,1,0,0,0,38,0,3,1,32,3,0
1/1/2005,0,0,6,9,0,24,3,0,0,0,25,3,0,7,0,5,3,0,9,1,0,1,5,0,0,15,3,13,1,21,3,19,13,4,1,0,3,0,18,7,2,0,1,0,0,0,44,0,3,1,25,3,0
2/1/2005,0,0,6,10,0,24,3,0,0,0,26,3,0,7,0,5,3,0,12,1,0,1,5,0,0,13,3,14,1,22,3,16,11,4,1,0,3,0,19,7,3,0,1,0,0,0,59,0,3,1,20,3,0
3/1/2005,0,0,5,10,0,24,3,0,0,0,27,3,0,7,0,5,3,0,21,1,0,1,5,0,0,13,3,26,1,21,3,16,11,4,1,0,3,0,16,6,2,0,1,0,0,0,57,0,3,1,18,2,0
4/1/2005,0,0,5,10,0,24,3,0,0,0,26,3,0,7,1,5,3,0,10,1,0,1,5,0,0,11,3,33,1,22,3,17,9,4,1,0,3,0,14,6,2,0,1,0,0,0,56,0,2,1,16,3,0
5/1/2005,0,0,6,10,0,23,3,0,0,0,24,3,0,6,1,5,3,0,7,1,0,1,5,0,0,9,3,98,1,21,2,20,9,5,1,0,3,0,12,6,2,0,1,0,0,0,59,0,3,1,16,2,0
6/1/2005,0,0,6,10,0,24,3,0,0,0,25,3,0,6,0,4,3,0,5,1,0,1,5,0,0,8,3,51,1,22,3,22,7,14,1,0,3,0,13,6,2,0,1,0,0,0,62,0,2,1,40,2,0
7/1/2005,0,0,6,10,0,24,4,0,0,0,24,4,0,7,1,4,4,0,5,1,0,1,5,0,0,9,3,25,1,25,3,55,8,9,1,0,3,0,12,7,3,0,1,0,0,0,66,0,2,1,42,2,0
8/1/2005,0,0,6,9,0,22,3,0,0,0,23,5,0,6,1,4,4,0,4,1,0,1,5,0,0,9,3,18,1,26,3,29,8,6,1,0,3,0,11,6,3,0,1,0,0,0,65,0,2,1,28,3,0
9/1/2005,0,0,5,9,0,21,3,0,0,0,21,4,0,6,0,4,3,0,3,1,0,1,4,0,0,8,3,16,1,24,3,22,9,5,1,0,3,0,11,6,2,0,1,0,0,0,63,0,2,1,21,2,0
10/1/2005,0,0,6,10,0,25,3,0,0,0,23,4,0,6,0,4,3,0,3,1,0,1,4,0,0,9,3,17,1,28,3,30,12,7,1,0,3,0,12,6,3,0,1,0,0,0,61,0,2,1,21,4,0
11/1/2005,0,0,6,10,0,23,3,0,0,0,23,4,0,7,1,3,3,0,3,1,0,1,4,0,0,14,3,21,1,30,2,57,19,6,1,0,3,0,12,6,3,0,1,0,0,0,61,0,2,1,20,3,0
12/1/2005,0,0,6,12,0,23,4,0,0,0,28,5,0,8,1,3,2,0,3,1,0,1,4,0,0,14,3,20,2,35,3,40,19,5,1,0,3,0,12,7,3,0,1,0,0,0,65,0,2,1,21,3,0
1/1/2006,0,0,5,10,0,21,4,0,0,0,25,4,0,7,1,3,2,0,3,1,0,1,4,0,0,12,3,16,1,30,3,25,14,5,1,0,2,0,10,6,3,0,1,0,0,0,72,0,2,1,19,3,0
2/1/2006,0,0,5,10,0,21,4,0,0,0,24,4,0,8,1,3,2,0,3,1,0,1,4,0,0,10,3,14,1,30,3,20,11,5,1,0,2,0,11,6,3,0,1,0,0,0,64,0,2,1,18,3,0
3/1/2006,0,0,5,10,0,21,3,0,0,0,24,5,0,8,1,3,2,0,2,1,0,1,4,0,0,9,3,14,1,29,3,19,9,5,1,0,2,0,11,6,3,0,1,0,0,0,65,0,2,1,17,2,0
4/1/2006,0,0,5,10,0,21,3,0,0,0,26,5,0,8,2,4,2,0,2,1,0,1,4,0,0,9,3,14,1,32,3,18,10,5,1,0,2,0,10,5,3,0,1,0,0,0,64,0,2,1,16,2,0
5/1/2006,0,0,5,10,0,21,3,0,0,0,27,5,0,7,1,4,2,0,3,1,0,1,4,0,0,8,3,12,1,29,3,15,9,5,3,0,2,0,10,5,2,0,1,0,0,0,66,0,2,1,16,2,0
6/1/2006,0,0,5,10,0,22,4,0,0,0,29,5,0,7,2,4,2,0,2,1,0,1,4,0,0,9,3,12,1,31,4,16,8,5,13,0,2,0,10,5,2,0,1,0,0,0,75,0,2,1,18,2,0
7/1/2006,0,0,5,11,0,23,4,0,0,0,32,5,0,8,1,4,2,0,3,1,0,1,4,0,0,9,2,11,1,33,3,16,9,5,12,0,2,0,9,5,3,0,1,0,0,0,74,0,2,1,22,2,0
